Uber Exclude,Door-to-Door Only
171360,111292
171408,111385
171416,111387
171442,111405
171444,111541
171616,111593
171661,111646
171743,111715
171797,111737
171801,111749
172072,111912
172154,111986
172220,112020
172362,112022
172375,112059
172425,112069
172456,112090
172474,112164
172639,112165
172691,112167
172705,112290
172738,112398
172800,112413
172864,112583
173088,112663
173144,112689
173334,112762
173376,112779
173458,112881
173461,112989
173765,112997
173846,113108
173877,113155
173879,113258
173893,113338
173903,113378
174165,113485
174199,113502
174255,113503
174319,113563
174375,113620
174449,113654
174518,113701
174519,113832
174554,113839
175132,113906
175133,113943
175159,113968
175162,114037
175265,114061
175460,114102
175523,114140
175539,114156
175554,114189
175555,114332
175558,114333
175629,114434
175638,114436
175820,114464
175892,114497
176007,114591
176243,114593
176303,114613
176323,114619
176405,114675
176474,114723
176479,114831
176494,114913
176507,114999
176541,115049
176566,115051
176690,115217
176730,115373
177015,115384
177040,115398
177050,115408
177086,115461
177264,115472
177313,115658
177398,115667
177473,115869
177599,115886
177727,115899
177771,115923
177794,115937
177807,115939
177812,115940
177844,116002
178009,116338
178071,116346
178108,116408
178160,116651
178206,116675
178638,116728
178652,116749
178981,116763
179007,116771
179050,116796
179072,116797
179080,116873
179151,117033
179272,117049
179298,117062
179405,117178
179490,117244
179503,117322
179505,117370
179592,117378
179620,117471
179636,117495
179710,117575
179905,117651
179926,117780
180056,117896
180080,117941
180128,117978
180154,118058
180157,118089
180171,118320
180315,118423
180363,118431
180406,118601
180422,118711
180536,118878
180578,118887
180712,118971
180738,119037
180751,119083
180772,119206
180783,119332
180872,119781
180906,119836
180963,119863
181173,119890
181232,119902
181268,119905
181309,119947
181394,119948
181396,120066
181487,120076
181647,120228
181852,120258
181947,120295
181994,120302
182109,120461
182144,120479
182187,120485
182300,120496
182338,120530
182439,120533
182457,120572
182567,120670
182589,120737
182740,120790
182762,120868
182861,121009
183077,121237
183139,121242
183174,121308
183218,121422
183369,121492
183375,121547
183381,121920
183448,121954
183575,121995
183598,122196
183648,122275
183692,122297
183747,122429
183752,122454
183761,122504
183785,122510
183847,122537
184060,122546
184085,122632
184116,122732
184302,122817
184332,122894
184380,122918
184440,122931
184454,122959
184496,123022
184537,123040
184547,123076
184587,123138
184735,123158
184782,123234
184783,123309
184866,123336
184889,123449
185027,123594
185081,123716
185223,123727
185265,123839
185312,124244
185393,124248
185440,124373
185479,124402
